,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
361,vila franca do campo,40.0,PT,1550959200,67.0,37.72,-25.43,60.8,18.34
364,tilichiki,88.0,RU,1550961995,83.0,60.47,166.1,8.63,6.62
365,tarakan,40.0,ID,1550959200,88.0,3.3,117.63,78.8,3.71
366,alexandria,1.0,US,1550960100,60.0,31.31,-92.44,71.6,16.11
367,lardos,75.0,GR,1550956800,81.0,36.09,28.02,53.6,2.24
368,laguna,5.0,MX,1550958000,26.0,27.52,-110.01,71.6,9.17
369,aswan,0.0,EG,1550959200,28.0,24.09,32.9,59.0,6.93
370,college,75.0,US,1550959080,72.0,64.86,-147.8,17.6,4.7
371,guanay,76.0,BO,1550961997,92.0,-15.5,-67.88,67.63,1.36
372,vitim,76.0,RU,1550961998,72.0,59.44,112.57,16.6,7.07
374,kendari,44.0,ID,1550961998,97.0,-3.99,122.52,77.12,3.71
375,sinnamary,80.0,GF,1550961998,95.0,5.38,-52.96,79.24,10.2
376,cayenne,64.0,GF,1550961000,74.0,4.94,-52.33,78.8,4.7
377,progreso,90.0,UY,1550959200,94.0,-34.68,-56.22,71.6,7.74
378,samarai,0.0,PG,1550961999,96.0,-10.62,150.67,83.51,7.07
379,kenai,1.0,US,1550958960,73.0,60.55,-151.26,26.6,9.17
380,bonavista,32.0,CA,1550962000,100.0,48.65,-53.11,8.68,27.76
381,caraballeda,20.0,VE,1550959200,74.0,10.61,-66.85,78.8,5.82
382,calatayud,12.0,ES,1550959200,65.0,41.35,-1.64,53.6,2.24
383,talnakh,68.0,RU,1550962001,60.0,69.49,88.39,-13.47,5.5
385,kaduqli,0.0,SD,1550962002,57.0,11.01,29.72,64.7,2.93
386,flin flon,75.0,CA,1550959200,60.0,54.77,-101.88,5.0,17.22
387,tadine,0.0,NC,1550962002,83.0,-21.55,167.88,84.68,13.67
388,trelew,0.0,AR,1550962002,22.0,-43.25,-65.31,58.18,15.23
389,villa carlos paz,90.0,AR,1550959200,83.0,-31.42,-64.5,75.2,10.29
390,pyu,0.0,MM,1550962003,87.0,18.48,96.43,64.21,2.48
391,curuca,20.0,BR,1550962003,77.0,-2.52,-61.06,82.66,5.95
